Refseq accession,annotation_file,embedding_file,NCBI taxonomy,Species,Organism source1,Phylum,Class,Oder,Family,Kingdom,Oxygen requirement,Oxygen requirements assignment source (DB/PMID)2,Number of O2-utilizing enzymes ,Enzymes,physiology
GCF_000008485,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000008485.1_ASM848v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000008485.1_ASM848v1_protein_embedding.h5,272624,Legionella pneumophila,original tree,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Bacteria,Aerobic,PATRIC,26,1.14.16.1  1.13.11.5  1.14.13.127  1.10.3.14  1.10.2.2  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.4.3.22  1.13.11.18  1.14.11.18  1.3.3.3  1.13.11.27  1.13.12.16  1.13.11.24  1.1.3.42  1.13.12.4  1.14.15.3  1.1.1.270  1.4.3.2  1.4.3.5  1.14.13.9  1.15.1.1,Aerobe
GCF_000604165,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000604165.1_Bacillus_licheniformis_strain_G-1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000604165.1_Bacillus_licheniformis_strain_G-1_protein_embedding.h5,1413213,Bacillus paralicheniformis,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Facultative,26296568,37,1.14.13.154  1.13.11.53  1.14.13.185  1.13.11.2  1.5.3.1  1.14.12.17  1.14.13.142  1.14.14.1  1.10.3.10  1.13.11.54  1.10.3.2  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.15.13  1.14.14.52  1.14.13.33  4.1.1.39  1.14.14.18  1.4.3.24  1.14.14.47  1.14.14.46  1.14.13.88  1.11.1.6  1.3.3.4  1.14.13.225  1.14.14.5  1.13.12.16  1.1.99.18  1.14.13.237  1.14.15.8  1.13.11.80  1.1.1.270  1.4.3.2  1.15.1.1,Facultative
GCF_000013725,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000013725.1_ASM1372v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000013725.1_ASM1372v1_protein_embedding.h5,259564,Methanococcoides burtonii,original tree,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Archaea,Anaerobic,GOLD,9,1.14.16.4  1.14.16.1  1.4.3.19  1.14.13.208  4.1.1.39  1.14.13.168  1.11.1.6  1.3.3.6  1.14.13.237,Anaerobe
GCF_000008985,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000008985.1_ASM898v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000008985.1_ASM898v1_protein_embedding.h5,177416,Francisella tularensis,original tree,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Bacteria,Aerobic,30159158,14,1.1.5.4  1.10.3.14  1.10.3.10  1.11.1.21  1.9.3.1  1.14.13.208  1.4.3.24  1.13.11.18  1.3.3.4  1.3.3.3  1.13.11.24  1.6.3.1  1.15.1.1  1.14.19.1,Aerobe
GCF_000190435,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000190435.1_ASM19043v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000190435.1_ASM19043v1_protein_embedding.h5,158189,Sphaerochaeta globosa,added,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Bacteria,Anaerobic,PATRIC,19,1.5.3.1  1.5.3.7  1.14.14.51  1.8.3.2  1.14.13.208  1.14.14.52  1.2.3.1  1.4.3.24  1.14.15.21  1.11.1.6  1.13.11.24  1.3.99.31  1.1.99.18  1.14.11.27  1.14.13.237  1.4.3.2  1.4.3.4  1.14.13.7  1.15.1.1,Anaerobe
GCF_000007845,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000007845.1_ASM784v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000007845.1_ASM784v1_protein_embedding.h5,198094,Bacillus anthracis,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Facultative,PATRIC,35,1.13.11.53  1.14.16.1  1.14.13.185  1.5.3.1  1.5.3.7  1.14.12.17  1.1.5.4  1.1.3.15  1.14.13.142  1.14.14.1  1.10.3.10  1.13.11.54  1.14.14.24  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.13.11.12  1.14.14.18  1.13.11.11  1.14.14.47  1.13.11.58  1.11.1.6  1.3.3.4  1.13.11.27  1.14.14.5  1.13.12.16  1.13.11.24  1.1.99.18  1.14.15.8  1.4.3.2  1.14.13.9  1.14.11.2  1.15.1.1,Facultative
GCF_000014905,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000014905.1_ASM1490v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000014905.1_ASM1490v1_protein_embedding.h5,234267,Candidatus Solibacter usitatus,original tree,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Bacteria,Aerobic,PATRIC,46,1.1.3.6  1.14.16.1  1.13.11.5  1.13.11.6  1.13.11.3  1.5.3.1  1.14.13.127  1.14.12.17  1.1.3.15  1.16.3.1  1.4.3.3  1.10.2.2  1.14.14.51  1.13.12.23  1.11.1.21  1.14.19.10  1.9.3.1  1.4.3.16  1.4.3.10  1.4.3.19  1.14.13.208  1.14.14.52  1.13.99.1  1.14.13.33  1.2.3.1  1.4.3.24  1.14.17.3  1.11.1.6  1.3.3.4  1.3.3.3  1.13.11.27  1.13.11.24  1.7.3.3  1.13.11.20  1.17.3.2  1.14.13.237  1.14.13.232  1.14.19.18  1.14.19.37  1.3.99.26  1.13.11.83  1.14.11.33  1.4.3.2  1.4.3.4  1.14.13.9  1.15.1.1,Aerobe
GCF_000008285,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000008285.1_ASM828v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000008285.1_ASM828v1_protein_embedding.h5,265669,Listeria monocytogenes,original tree,Firmicutes,Bacilli,Bacillales,Listeriaceae,Bacteria,Facultative,PATRIC,17,1.13.11.2  1.5.3.1  1.2.3.3  1.5.3.7  1.10.3.10  1.14.14.51  1.4.3.16  1.14.14.52  1.14.14.18  1.11.1.6  1.3.3.4  1.14.13.237  1.3.99.26  1.4.3.2  1.4.3.4  1.14.13.9  1.15.1.1,Facultative
GCF_000011205,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000011205.1_ASM1120v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000011205.1_ASM1120v1_protein_embedding.h5,273063,Sulfolobus tokodaii,original tree,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Archaea,Aerobic,11572479,13,1.13.11.55  1.14.13.69  1.13.11.79  1.9.3.1  1.4.3.16  1.8.3.4  1.14.99.44  1.2.3.1  1.14.13.225  1.13.11.24  1.4.3.2  1.4.3.4  1.15.1.1,Aerobe
GCF_000013005,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000013005.1_ASM1300v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000013005.1_ASM1300v1_protein_embedding.h5,314225,Erythrobacter litoralis,original tree,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Bacteria,Aerobic,PATRIC,28,1.14.16.5  1.14.16.1  1.5.3.1  1.14.14.1  1.16.3.1  1.10.2.2  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.2.3.1  1.4.3.24  1.13.11.11  1.14.15.24  1.14.11.17  1.3.3.3  1.13.11.27  1.13.12.16  1.14.13.16  1.13.11.24  1.3.99.31  1.14.13.237  1.13.11.80  1.4.3.2  1.4.3.5  1.15.1.1,Aerobe
GCF_000169195,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000169195.2_ASM16919v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000169195.2_ASM16919v2_protein_embedding.h5,345219,Bacillus coagulans,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Facultative,GOLD,25,1.5.3.1  1.14.12.17  1.1.5.4  1.14.14.1  1.10.3.10  1.10.3.2  1.14.14.51  1.9.3.1  1.4.3.16  1.14.13.208  1.14.14.52  1.1.3.21  4.1.1.39  1.14.14.18  1.4.3.24  1.14.17.3  1.11.1.6  1.3.3.4  1.14.14.5  1.13.12.16  1.13.12.3  1.3.99.26  1.4.3.2  1.14.14.12  1.15.1.1,Facultative
GCF_000006985,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000006985.1_ASM698v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000006985.1_ASM698v1_protein_embedding.h5,194439,Chlorobaculum tepidum,added,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Bacteria,Anaerobic,19825618,15,1.1.5.4  1.10.3.14  1.13.11.79  1.14.14.51  1.4.3.16  1.8.3.2  1.4.3.19  1.14.14.52  1.3.3.4  1.1.99.18  1.14.11.27  1.14.13.237  1.4.3.2  1.14.11.6  1.15.1.1,Anaerobe
GCF_000014965,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000014965.1_ASM1496v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000014965.1_ASM1496v1_protein_embedding.h5,335543,Syntrophobacter fumaroxidans,added,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Bacteria,Anaerobic,PATRIC,24,1.14.16.1  1.5.3.1  1.10.3.10  1.5.3.17  1.10.3.2  1.13.11.79  1.14.14.51  1.4.3.16  1.4.3.19  1.14.13.208  1.14.14.52  1.14.99.44  1.2.3.1  1.3.5.6  1.11.1.6  1.3.3.4  1.14.13.84  1.17.3.2  1.14.13.237  1.3.99.26  1.4.3.2  1.4.3.4  1.14.13.7  1.15.1.1,Anaerobe
GCF_000017425,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000017425.1_ASM1742v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000017425.1_ASM1742v1_protein_embedding.h5,315749,Bacillus cytotoxicus,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Aerobic,PATRIC,34,1.13.11.53  1.14.16.1  1.13.11.2  1.5.3.1  1.14.12.17  1.1.5.4  1.1.3.15  1.10.3.10  1.13.11.54  1.10.3.1  1.10.3.2  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  4.1.1.39  1.14.14.18  1.13.11.11  1.14.14.47  1.14.14.46  1.11.1.6  1.3.3.4  1.13.11.27  1.14.14.5  1.13.12.16  1.13.11.24  1.1.99.18  1.1.1.170  1.14.14.9  1.14.13.2  1.14.19.41  1.15.1.1,Aerobe
GCF_000195875,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000195875.1_ASM19587v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000195875.1_ASM19587v1_protein_embedding.h5,272635,Mycoplasma pulmonis,original tree,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Bacteria,Facultative,PATRIC,1,1.1.99.18,Facultative
GCF_000223215,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000223215.1_ASM22321v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000223215.1_ASM22321v1_protein_embedding.h5,1045858,Brachyspira intermedia,added,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Bacteria,Anaerobic,PATRIC,9,1.1.3.15  1.14.14.1  1.14.13.208  1.4.3.24  1.14.13.168  1.3.3.4  1.13.11.24  1.4.3.2  1.15.1.1,Anaerobe
GCF_000237285,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000237285.1_ASM23728v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000237285.1_ASM23728v1_protein_embedding.h5,1002804,Helicobacter bizzozeronii,added,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Bacteria,Anaerobic,PATRIC,10,1.1.5.4  1.1.3.15  1.14.14.51  1.9.3.1  1.14.14.52  1.11.1.6  1.14.13.163  1.13.11.24  1.14.13.7  1.15.1.1,Anaerobe
GCF_000255295,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000255295.1_ASM25529v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000255295.1_ASM25529v1_protein_embedding.h5,1144275,Corallococcus coralloides,added,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Bacteria,Aerobic,30340510,51,1.1.3.6  1.13.11.53  1.1.3.9  1.13.11.5  1.13.11.6  1.14.19.30  1.14.13.127  1.1.5.4  1.13.11.29  1.14.14.1  1.10.3.10  1.5.3.17  1.13.11.54  1.14.18.1  1.14.14.51  1.9.3.1  1.4.3.16  1.4.3.19  1.14.14.52  1.14.13.38  1.2.3.1  1.13.11.16  1.13.11.11  1.14.15.21  1.13.11.18  1.14.13.210  1.14.99.50  1.11.1.6  1.3.3.4  1.3.3.6  1.3.3.3  1.14.13.222  1.14.19.23  1.13.12.16  1.13.11.24  1.1.3.44  1.1.3.43  1.14.11.27  1.14.13.113  1.17.3.2  1.14.13.234  1.14.12.7  1.3.99.26  1.6.3.5  1.4.3.2  1.4.3.5  1.4.3.4  1.14.13.9  1.13.11.39  1.15.1.1  1.13.11.37,Aerobe
GCF_000751975,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000751975.2_ASM75197v2_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000751975.2_ASM75197v2_protein_embedding.h5,189382,Bacillus aquimaris,original tree,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria,Aerobic,13130010,33,1.13.11.53  1.13.11.2  1.14.12.17  1.1.5.4  1.1.3.15  1.14.14.1  1.10.3.10  1.13.11.54  1.13.11.79  1.14.14.51  1.11.1.21  1.9.3.1  1.4.3.16  1.8.3.2  1.4.3.19  1.14.14.52  1.14.13.149  1.14.99.44  1.14.14.18  1.13.11.11  1.14.14.47  1.11.1.6  1.3.3.4  1.13.11.27  1.13.12.16  1.14.13.237  1.3.99.26  1.6.3.5  1.1.1.270  1.4.3.2  1.14.13.9  1.14.13.131  1.15.1.1,Aerobe
GCF_000165485,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000165485.1_ASM16548v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000165485.1_ASM16548v1_protein_embedding.h5,378806,Stigmatella aurantiaca,added,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Bacteria,Aerobic,5369325,53,1.1.3.6  1.13.11.53  1.14.16.5  1.13.11.6  1.14.13.185  1.13.11.3  1.14.12.17  1.13.11.54  1.14.99.29  1.16.3.1  1.10.3.2  1.14.14.51  1.9.3.1  1.4.3.16  1.8.3.2  1.4.3.19  1.14.13.208  1.14.14.52  1.14.13.39  1.14.13.38  1.1.3.21  1.1.3.41  1.2.3.1  1.14.13.151  1.13.11.11  1.14.15.21  1.13.11.18  1.14.99.50  1.14.19.17  1.5.3.14  1.5.3.15  1.14.19.19  1.14.13.168  1.14.11.18  1.11.1.6  1.3.3.4  1.3.3.6  1.3.3.3  1.13.11.24  1.1.99.18  1.14.13.113  1.17.3.2  1.14.13.237  1.14.13.234  1.3.99.26  1.14.13.82  1.4.3.2  1.4.3.5  1.14.13.2  1.14.13.9  1.3.99.30  1.15.1.1  1.14.13.137,Aerobe
GCF_000012325,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000012325.1_ASM1232v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000012325.1_ASM1232v1_protein_embedding.h5,167879,Colwellia psychrerythraea,original tree,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Bacteria,Facultative,PATRIC,33,1.14.16.1  1.5.3.1  1.14.13.127  1.14.12.17  1.1.3.15  1.10.3.14  1.16.3.1  1.3.3.11  1.13.11.79  1.10.2.2  1.14.14.51  1.13.12.23  1.11.1.21  1.9.3.1  1.4.3.16  1.8.3.2  1.4.3.19  1.14.14.52  1.14.99.44  1.14.11.47  1.11.1.6  1.3.3.3  1.13.11.27  1.13.11.24  1.17.3.2  1.14.13.237  1.13.11.83  1.14.11.33  1.4.3.2  1.4.3.5  1.14.13.9  1.7.2.1  1.15.1.1,Facultative
GCF_000013385,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_annotations/GCF_000013385.1_ASM1338v1_protein.ko.tab,/groups/fischergroup/goldford/gtdb/oxygen/jagoda_ref_genomes_embeddings/GCF_000013385.1_ASM1338v1_protein_embedding.h5,290397,Anaeromyxobacter dehalogenans,original tree,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Bacteria,Facultative,PATRIC,31,1.1.3.6  1.13.11.5  1.13.11.29  1.1.3.15  1.13.11.54  1.16.3.1  1.13.11.79  1.10.2.2  1.14.14.51  1.9.3.1  1.4.3.16  1.8.3.4  1.8.3.2  1.4.3.19  1.13.11.60  1.14.19.29  1.14.13.208  1.14.14.52  1.13.11.11  1.14.15.21  1.14.13.168  1.11.1.6  1.3.3.3  1.13.11.24  1.14.13.237  1.3.99.26  1.4.3.2  1.4.3.5  1.14.14.17  1.14.13.9  1.14.11.4,Facultative
